Year,Site,Transect_ID,Treatment,Transect,Sample,dry_weight,Roots_g_per_m2
2024,TKR,TKR_C_T2,Control,2,45,0.76,387.06
2024,TKR,TKR_C_T3,Control,3,15,1.7,865.8
2024,TKR,TKR_C_T3,Control,3,30,10.65,"5,424.00"
2024,TKR,TKR_C_T3,Control,3,45,0.47,239.37
2024,TKR,TKR_C_T4,Control,4,15,3.56,"1,813.09"
2024,TKR,TKR_C_T4,Control,4,30,3.26,"1,660.30"
2024,TKR,TKR_C_T4,Control,4,45,2.43,"1,237.59"
2024,TKR,TKR_C_T5,Control,5,15,1.5,763.94
2024,TKR,TKR_C_T5,Control,5,30,0.42,213.9
2024,TKR,TKR_C_T5,Control,5,45,0.8,407.44
2024,PL,PL_B_T1,Burn,1,15,0.95,483.83
2024,PL,PL_B_T1,Burn,1,30,1.7,865.8
2024,PL,PL_B_T1,Burn,1,45,2.64,"1,344.54"
2024,PL,PL_B_T2,Burn,2,15,2.8,"1,426.03"
2024,PL,PL_B_T2,Burn,2,30,1.84,937.1
2024,PL,PL_B_T2,Burn,2,45,1.47,748.66
2024,PL,PL_B_T3,Burn,3,15,1.8,916.73
2024,PL,PL_B_T3,Burn,3,30,4,"2,037.18"
2024,PL,PL_B_T3,Burn,3,45,5.42,"2,760.38"
2024,PL,PL_B_T4,Burn,4,15,7.94,"4,043.81"
2024,PL,PL_B_T4,Burn,4,30,2.26,"1,151.01"
2024,PL,PL_B_T4,Burn,4,45,1.87,952.38
2024,PL,PL_B_T5,Burn,5,15,0.16,81.49
2024,PL,PL_B_T5,Burn,5,30,2.75,"1,400.56"
2024,PL,PL_B_T5,Burn,5,45,1.02,519.48
2024,PL,PL_C_T1,Control,1,15,0.78,397.25
2024,PL,PL_C_T1,Control,1,30,0.5,254.65
2024,PL,PL_C_T1,Control,1,45,0.2,101.86
2024,PL,PL_C_T2,Control,2,15,1.92,977.85
2024,PL,PL_C_T2,Control,2,30,3.9,"1,986.25"
2024,PL,PL_C_T2,Control,2,45,2.03,"1,033.87"
