Year,Site,Transect_ID,Cover_Class,5,10,15,20,25,30,35,40,45,50,NPS_Severity
2024,PL,PL_B_T3,Black,52.5,17.5,27.5,62.5,67.5,42.5,87.5,17.5,37.5,47.5,moderate
2024,PL,PL_B_T3,Dried_Unburned,12.5,5,10,10,12.5,12.5,5,87.5,17.5,27.5,
2024,PL,PL_B_T3,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T3,New_Green,0,0,0,0,0,10,0,0,5,3,
2024,PL,PL_B_T3,Bare_Ground,32.5,82.5,42.5,32.5,27.5,42.5,0,0,57.5,37.5,
2024,PL,PL_B_T3,Gopher_Hole,0,0,0,0,0,0,5,0,0,0,
2024,PL,PL_B_T3,Gopher_Mound,12.5,0,27.5,0,0,0,12.5,0,0,0,
2024,PL,PL_B_T4,Black,82.5,22.5,37.5,62.5,72.5,37.5,87.5,92.5,77.5,42.5,?
2024,PL,PL_B_T4,Dried_Unburned,27.5,72.5,62.5,27.5,17.5,52.5,19,12.5,17.5,47.5,
2024,PL,PL_B_T4,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T4,New_Green,5,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T4,Bare_Ground,0,10,10,12.5,27.5,17.5,0,5,10,17.5,
2024,PL,PL_B_T4,Gopher_Hole,0,0,0,0,0,0,10,0,0,0,
2024,PL,PL_B_T4,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T5,Black,27.5,42.5,42.5,22.5,22.5,27.5,82.5,22.5,37.5,52.5,?
2024,PL,PL_B_T5,Dried_Unburned,62.5,67.5,47.5,42.5,17.5,7,12.5,6,57.5,52.5,
2024,PL,PL_B_T5,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,PL,PL_B_T5,New_Green,0,10,0,2,3,0,0,0,0,0,
2024,PL,PL_B_T5,Bare_Ground,22.5,12.5,12.5,52.5,67.5,52.5,12.5,77.5,6,5,
2024,PL,PL_B_T5,Gopher_Hole,0,0,0,0,0,0,0,0,2,5,
2024,PL,PL_B_T5,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2023,WR22,WR22_B_T1,Black,57.5,47.5,22.5,37.5,52.5,27.5,22.5,47.5,77.5,37.5,
2023,WR22,WR22_B_T1,Dried_Unburned,0,0,57.5,42.5,47.5,47.5,52.5,27.5,0,37.5,
